Employee_Name,Employee_Number,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,Date_of_Hire,Date_of_Termination,Reason_For_Term,Employment_Status,Department,Position,Pay_Rate,Manager_Name,Employee_Source,Performance_Score
"Johnson, Noelle ",1003018246,MA,2301,7/11/86,31,Female,Married,US Citizen,5/1/15,,N/A - still employed,Leave of Absence,IT/IS,Database Administrator,40,Simon Roup,Glassdoor,90-day meets
"Heitzman, Anthony",1002017900,MA,2149,4/1/84,34,Male,Single,US Citizen,13/08/2012,,N/A - still employed,Active,Production       ,Production Technician I,19,Ketsia Liebig,Social Networks - Facebook Twitter etc,90-day meets
"Smith, Joe",1001970770,MA,2045,30/10/1963,54,Male,Single,US Citizen,29/09/2014,,N/A - still employed,Active,Production       ,Production Technician II,22,Elijiah Gray,Pay Per Click - Google,Exceeds
"Morway, Tanya",1001956578,MA,2048,4/4/79,38,Female,Married,US Citizen,16/02/2015,,N/A - still employed,Active,IT/IS,Network Engineer,27,Peter Monroe,Monster.com,Fully Meets
"Hogland, Jonathan ",1001944783,MA,1890,1/7/72,45,Male,Married,US Citizen,10/1/11,12/12/15,attendance,Terminated for Cause,Production       ,Production Manager,48.5,Janet King,Employee Referral,Fully Meets
"Oliver, Brooke ",1001856521,MA,2492,11/2/52,65,Female,Married,US Citizen,14/05/2012,19/08/2013,unhappy,Voluntarily Terminated,Production       ,Production Technician II,25,Webster Butler,Newspager/Magazine,90-day meets
"Pitt, Brad ",1001735072,MA,2451,23/11/1981,36,Male,Single,US Citizen,5/11/07,,N/A - still employed,Active,Production       ,Production Technician I,17,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets
"sweetwater, alex",1001644719,MA,2184,22/11/1966,51,Male,Single,US Citizen,15/08/2011,,N/A - still employed,Active,Software Engineering     ,Software Engineering Manager,27,Jennifer Zamora,Search Engine - Google Bing Yahoo,Fully Meets
"Good, Susan",1001549006,MA,1886,25/05/1986,31,Female,Married,US Citizen,12/5/14,,N/A - still employed,Leave of Absence,Production       ,Production Technician II,24.25,David Stanley,Professional Society,Fully Meets
"Lunquist, Lisa",1001504432,MA,2324,28/03/1982,35,Female,Single,US Citizen,19/08/2013,,N/A - still employed,Active,Production       ,Production Technician II,26.1,Elijiah Gray,Glassdoor,Exceeds
"King, Janet",1001495124,MA,1902,21/09/1954,63,Female,Married,US Citizen,2/7/12,,N/A - still employed,Active,Executive Office,President & CEO,80,Board of Directors,Pay Per Click - Google,Fully Meets
"Cole, Spencer",1001450968,MA,1880,12/8/79,38,Male,Single,US Citizen,11/7/11,23/09/2012,performance,Terminated for Cause,Production       ,Production Technician I,15,Kissy Sullivan,MBTA ads,Needs Improvement
"Anderson, Carol ",1001417624,MA,2169,8/9/89,28,Female,Divorced,US Citizen,11/7/11,6/9/11,return to school,Voluntarily Terminated,Production       ,Production Technician I,16,Webster Butler,Word of Mouth,N/A- too early to review
"Ybarra, Catherine ",1001268402,MA,2458,4/5/82,35,Female,Single,US Citizen,2/9/08,29/09/2015,Another position,Voluntarily Terminated,Production       ,Production Technician I,22,Brannon Miller,Search Engine - Google Bing Yahoo,PIP
"Ruiz, Ricardo",1001175250,MA,1915,4/1/64,54,Male,Divorced,US Citizen,9/1/12,4/11/15,hours,Voluntarily Terminated,IT/IS,IT Manager - DB,21,Jennifer Zamora,Diversity Job Fair,Fully Meets
"Guilianno, Mike",1001167253,TN,37129,9/2/69,48,Male,Single,US Citizen,7/3/11,31/10/2014,relocation out of area,Voluntarily Terminated,Sales,Area Sales Manager,55,John Smith,Newspager/Magazine,Fully Meets
"Lynch, Lindsay",1001138521,MA,1844,14/02/1973,44,Female,Single,US Citizen,7/11/11,14/11/2015,Another position,Voluntarily Terminated,Production       ,Production Technician I,19,Webster Butler,Diversity Job Fair,Exceeds
"Darson, Jene'ya ",1001109612,MA,2110,5/11/78,39,Female,Married,US Citizen,2/7/12,,N/A - still employed,Active,Production       ,Production Technician I,15,Elijiah Gray,Billboard,Fully Meets
"Monterro, Luisa",1001103149,MA,2126,24/04/1970,47,Female,Single,US Citizen,13/05/2013,,N/A - still employed,Active,Production       ,Production Technician II,25,Kissy Sullivan,Billboard,Exceptional
Jeremy Prater,1001084890,NV,89139,9/5/74,43,Male,Married,US Citizen,12/5/14,,N/A - still employed,Active,Sales,Area Sales Manager,56,Lynn Daneault,Website Banner Ads,PIP
"Stanley, David ",1000974650,MA,1803,17/12/1975,42,Male,Divorced,US Citizen,20/07/2010,,N/A - still employed,Active,Production       ,Production Manager,53,Janet King,Monster.com,Needs Improvement
"Mckenna, Sandy",909015167,MA,2184,7/1/87,31,Female,Married,US Citizen,7/1/13,,N/A - still employed,Active,Production       ,Production Technician I,24,Kissy Sullivan,Monster.com,Fully Meets
"Shepard, Anita ",906014183,MA,1773,14/04/1981,36,Female,Married,US Citizen,30/09/2014,,N/A - still employed,Active,IT/IS,Network Engineer,47,Peter Monroe,Vendor Referral,Fully Meets
"Goble, Taisha",905013738,MA,2127,23/10/1971,46,Female,Single,US Citizen,16/02/2015,15/03/2015,"no-call, no-show",Terminated for Cause,IT/IS,Database Administrator,48.5,Simon Roup,Glassdoor,Fully Meets
"Semizoglou, Jeremiah  ",904013591,MA,1545,9/2/83,34,Male,Married,US Citizen,30/06/2016,,N/A - Has not started yet,Future Start,IT/IS,Sr. Network Engineer,53.8,Peter Monroe,On-campus Recruiting,N/A- too early to review
"Kirill, Alexandra  ",903013071,MA,2127,8/10/70,47,Female,Married,US Citizen,26/09/2011,9/1/12,more money,Voluntarily Terminated,Production       ,Production Technician I,24,Amy Dunn,Search Engine - Google Bing Yahoo,Fully Meets
"Ozark, Travis",812011761,NC,27229,19/05/1982,35,Male,Single,US Citizen,5/1/15,,N/A - still employed,Active,Sales,Area Sales Manager,55,John Smith,Website Banner Ads,90-day meets
"Simard, Kramer",808010278,MA,2110,8/2/70,47,Male,Married,US Citizen,5/1/15,,N/A - still employed,Active,IT/IS,Database Administrator,30.2,Simon Roup,Employee Referral,90-day meets
"Sewkumar, Nori",807010161,MA,2191,10/3/75,42,Female,Single,US Citizen,30/09/2013,,N/A - still employed,Leave of Absence,Production       ,Production Technician I,15.2,Webster Butler,Search Engine - Google Bing Yahoo,Fully Meets
"Ferreira, Violeta",803009012,MA,2176,10/6/86,31,Female,Single,US Citizen,20/02/2012,,N/A - still employed,Active,Production       ,Production Technician I,23,Ketsia Liebig,Newspager/Magazine,Fully Meets
"Smith, Leigh Ann",711007713,MA,1844,14/06/1987,30,Female,Married,US Citizen,26/09/2011,25/09/2013,career change,Voluntarily Terminated,Admin Offices,Administrative Assistant,20.5,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets
"Rose, Ashley  ",710007555,MA,1886,5/12/74,43,Female,Separated,US Citizen,6/1/14,,N/A - still employed,Active,Production       ,Production Technician I,17,David Stanley,Website Banner Ads,Fully Meets
"Kinsella, Kathleen  ",710007401,MA,2170,8/12/73,44,Female,Married,US Citizen,26/09/2011,4/6/15,more money,Voluntarily Terminated,Production       ,Production Technician I,22,Webster Butler,Search Engine - Google Bing Yahoo,90-day meets
"Dickinson, Geoff ",706006285,MA,2180,15/11/1982,35,Male,Single,US Citizen,12/5/14,,N/A - still employed,Active,Production       ,Production Technician I,21,Ketsia Liebig,Pay Per Click - Google,Fully Meets
"Lindsay, Leonara ",602000312,CT,6070,5/10/88,29,Female,Single,US Citizen,21/01/2011,,N/A - still employed,Active,IT/IS,IT Support,26,Eric Dougall,Diversity Job Fair,Exceeds
